"cod_modelo_color","cod_color_code","des_color_specification_esp","des_agrup_color_eng","des_sex","des_age","des_line","des_fabric","des_product_category","des_product_aggregated_family","des_product_family","des_product_type","des_filename"
"57050037-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2023_57050037_OR.jpg"
"57010726-88","88","FUCSIA","PINK","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2023_57010726_88.jpg"
"47087132-08","08","BEIGE","WHITE","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_47087132_08.jpg"
"57041028-83","83","ROSA PALO","PINK","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57041028_83.jpg"
"57040305-01","01","BLANCO","WHITE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57040305_01.jpg"
"57050382-46","46","TURQUESA","BLUE","Female","Adult","SHE","P-PLANA","Tops","Tops","Tops","Top","datathon/images/2023_57050382_46.jpg"
"57015144-TN","TN","TEJANO NEGRO","GREY","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57015144_TN.jpg"
"57010481-20","20","NARANJA","ORANGE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57010481_20.jpg"
"57065788-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Belts and Ties","Belt","datathon/images/2023_57065788_99.jpg"
"57050453-15","15","MOSTAZA","YELLOW","Female","Adult","SHE","T-TRICOT","Tops","Tops","Tops","Top","datathon/images/2023_57050453_15.jpg"
"57094414-94","94","GRIS MEDIO VIGORE","GREY","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57094414_94.jpg"
"57005974-TO","TO","TEJANO OSCURO","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57005974_TO.jpg"
"57055983-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2023_57055983_99.jpg"
"57091502-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2023_57091502_OR.jpg"
"57094431-DI","DI","DIRTY","BLUE","Female","Adult","SHE","J-JEANS","Bottoms","Jeans","Jeans","Jeans","datathon/images/2023_57094431_DI.jpg"
"57007771-03","03","HIELO","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57007771_03.jpg"
"57075812-85","85","ROSA","PINK","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2023_57075812_85.jpg"
"57047760-56","56","NAVY","BLUE","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Coats","Coat","datathon/images/2023_57047760_56.jpg"
"57028280-52","52","AZUL","BLUE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_57028280_52.jpg"
"43040692-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Earrings","datathon/images/2019_43040692_OR.jpg"
"53070611-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2019_53070611_02.jpg"
"53030677-32","32","CHOCOLATE","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Glasses","Glasses","datathon/images/2019_53030677_32.jpg"
"51060677-08","08","BEIGE","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2019_51060677_08.jpg"
"53060722-CU","CU","CUERO","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Sandals","datathon/images/2019_53060722_CU.jpg"
"53079062-05","05","CRUDO","WHITE","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Puffer coats","Puffer coat","datathon/images/2019_53079062_05.jpg"
"53080880-37","37","KHAKI","BROWN","Female","Adult","SHE","T-TRICOT","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_53080880_37.jpg"
"43077046-05","05","CRUDO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Hats, scarves and gloves","Kerchief","datathon/images/2019_43077046_05.jpg"
"51003746-85","85","ROSA","PINK","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_51003746_85.jpg"
"53093047-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Sandals","datathon/images/2019_53093047_99.jpg"
"53091077-30","30","MARRON","BROWN","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Shoes","datathon/images/2019_53091077_30.jpg"
"53041096-OR","OR","ORO","WHITE","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Jewellery","Necklace","datathon/images/2019_53041096_OR.jpg"
"53065024-30","30","MARRON","BROWN","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2019_53065024_30.jpg"
"51015740-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2019_51015740_99.jpg"
"57007697-09","09","CAMEL","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_57007697_09.jpg"
"57007109-92","92","GRIS","GREY","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_57007109_92.jpg"
"57015926-45","45","AGUA","GREEN","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2019_57015926_45.jpg"
"57019209-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57019209_99.jpg"
"51083792-15","15","MOSTAZA","YELLOW","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2019_51083792_15.jpg"
"57007902-07","07","ARENA","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_57007902_07.jpg"
"57027698-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57027698_99.jpg"
"53035770-56","56","NAVY","BLUE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2019_53035770_56.jpg"
"57027893-99","99","NEGRO","GREY","Female","Adult","SHE","K-CIRCULAR","Dresses, jumpsuits and Complete set","Dresses and jumpsuits","Dresses","Dress","datathon/images/2019_57027893_99.jpg"
"57029604-56","56","NAVY","BLUE","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2019_57029604_56.jpg"
"67010585-09","09","CAMEL","WHITE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2020_67010585_09.jpg"
"47074023-01","01","BLANCO","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","T-shirts","T-shirt","T-Shirt","datathon/images/2023_47074023_01.jpg"
"47009026-PL","PL","PLATA","GREY","Female","Adult","SHE","K-CIRCULAR","Accesories, Swim and Intimate","Swim and intimate","Swimwear","Bikini pantie","datathon/images/2023_47009026_PL.jpg"
"57050259-56","56","NAVY","BLUE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57050259_56.jpg"
"57013778-88","88","FUCSIA","PINK","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Shirt","datathon/images/2023_57013778_88.jpg"
"57044397-50","50","CELESTE","BLUE","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2023_57044397_50.jpg"
"57000428-01","01","BLANCO","WHITE","Female","Adult","SHE","P-PLANA","Tops","Shirts","Shirt","Blouse","datathon/images/2023_57000428_01.jpg"
"57000451-07","07","ARENA","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Skirts and shorts","Skirts","Skirt","datathon/images/2023_57000451_07.jpg"
"57006720-56","56","NAVY","BLUE","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Coats","Coat","datathon/images/2023_57006720_56.jpg"
"57074012-07","07","ARENA","WHITE","Female","Adult","SHE","K-CIRCULAR","Tops","Shirts","Shirt","Blouse","datathon/images/2023_57074012_07.jpg"
"57001096-02","02","OFFWHITE","WHITE","Female","Adult","SHE","P-PLANA","Bottoms","Trousers & leggings","Trousers","Trousers","datathon/images/2023_57001096_02.jpg"
"57023811-52","52","AZUL","BLUE","Female","Adult","SHE","T-TRICOT","Tops","Sweaters and Cardigans","Sweater","Sweater","datathon/images/2023_57023811_52.jpg"
"57045972-99","99","NEGRO","GREY","Female","Adult","SHE","C-COMPLEMENTOS","Accesories, Swim and Intimate","Accessories","Footwear","Shoes","datathon/images/2023_57045972_99.jpg"
"57078265-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Outerwear","Coats and Parkas","Outer Vest","Outer vest","datathon/images/2023_57078265_99.jpg"
"57025980-99","99","NEGRO","GREY","Female","Adult","SHE","P-PLANA","Outerwear","Jackets and Blazers","Blazers","Blazer","datathon/images/2023_57025980_99.jpg"
