"cod_outfit","cod_modelo_color"
1203,"53040593-08"
1203,"43003756-OR"
1203,"53030667-99"
1203,"43087725-99"
1203,"44013753-08"
1228,"53060518-02"
1228,"53020607-07"
1228,"53103803-OR"
1228,"53050829-OR"
1228,"53030780-56"
1247,"53060518-02"
1247,"53091158-OR"
1247,"53003778-OR"
1247,"53023736-05"
1247,"53030894-06"
1249,"53060518-02"
1249,"53060511-08"
1249,"53060830-OR"
1249,"43025787-OR"
1249,"53050753-32"
1249,"53030907-99"
1249,"53050906-99"
1353,"53060518-02"
1353,"53030594-08"
1353,"43063738-OR"
1353,"43050805-OR"
1353,"53040593-08"
1353,"43090723-OR"
1353,"43005827-05"
1353,"53040524-02"
1353,"43027705-02"
1367,"53060518-02"
1367,"53070631-08"
1367,"41005828-05"
1367,"43060805-OR"
1367,"53040548-12"
1374,"53060518-02"
1374,"53030691-OR"
1374,"53053763-30"
1374,"51080862-08"
1374,"53040601-15"
1380,"53060518-02"
1380,"43077762-01"
1380,"43005802-OR"
1380,"53080716-OR"
1380,"43057761-05"
1380,"53040611-37"
1388,"53060518-02"
1388,"43075794-OR"
1388,"43050805-OR"
1388,"43045788-28"
1388,"43087725-99"
1388,"53040623-99"
1388,"43065750-28"
1404,"53060518-02"
1404,"53030594-08"
1404,"53030691-OR"
1404,"51090613-01"
1404,"51080613-01"
1404,"53040874-85"
1456,"53060518-02"
1456,"53053763-30"
1456,"53083037-05"
1456,"53020608-07"
1456,"51005035-79"
1456,"53103805-OR"
1456,"57034381-33"
1456,"53043036-09"
1456,"53043748-TO"
1456,"53063039-02"
1550,"53060518-02"
1550,"53030691-OR"
1550,"53070602-01"
1550,"53050602-01"
1550,"43019091-52"
1609,"53060518-02"
1609,"43063738-46"
1609,"53091158-OR"
1609,"53080828-OR"
1609,"53030963-99"
1609,"53081158-OR"
1609,"53193794-OR"
1609,"53040712-OR"
1609,"53050903-41"
1609,"53080906-41"
1612,"53060518-02"
1612,"53060511-08"
1612,"53060830-OR"
1612,"43025787-OR"
1612,"53050753-32"
1612,"53030907-99"
1612,"53050906-99"
1617,"53060518-02"
1617,"53030594-08"
1617,"53080809-OR"
1617,"51023030-01"
1617,"53050926-37"
1653,"53060518-02"
1653,"53193794-OR"
1653,"53103805-OR"
1653,"53063712-07"
1653,"53053712-07"
1653,"53080681-37"
1743,"53060518-02"
1743,"53080716-OR"
1743,"51010936-02"
1743,"43045778-99"
1743,"53031022-02"
1743,"53060865-02"
1747,"53060518-02"
1747,"43047758-05"
1747,"43097754-99"
1747,"43050805-OR"
1747,"53060522-99"
1747,"43095826-02"
1747,"43045796-08"
1764,"53060518-02"
1764,"53030715-OR"
1764,"53050632-08"
1764,"53025026-52"
1764,"53060583-85"
1766,"53060518-02"
1766,"53030691-OR"
1766,"53040593-08"
1766,"53050831-OR"
1766,"53031097-OR"
1766,"53060589-37"
1767,"53060518-02"
1767,"53030691-OR"
1767,"53070631-08"
1767,"53031097-OR"
1767,"53060589-87"
1779,"53060518-02"
1779,"43005802-OR"
1779,"43073737-OR"
1779,"43047758-05"
1779,"43090723-OR"
1779,"51960789-74"
1779,"43030715-OR"
1779,"53060609-02"
1790,"53060518-02"
1790,"53030715-OR"
1790,"43013748-09"
1790,"53050681-OR"
1790,"53060634-70"
1824,"53060518-02"
1824,"53030691-OR"
1824,"53050831-OR"
1824,"53031022-02"
1824,"53080584-02"
1824,"53060865-02"
1824,"43045777-99"
1838,"53060518-02"
1838,"53091158-OR"
1838,"53080809-OR"
1838,"53050585-02"
1838,"53060975-99"
1856,"53060518-02"
1856,"53103803-OR"
1856,"53050829-OR"
1856,"53050624-01"
1856,"53063023-92"
1856,"53073023-92"
1872,"53060518-02"
1872,"53193794-OR"
1872,"53103805-OR"
1872,"53063712-07"
1872,"53053712-07"
1872,"53080681-37"
1889,"53060518-02"
1889,"53080809-OR"
1889,"53081158-OR"
1889,"53050635-99"
1889,"53063752-99"
1955,"53060518-02"
1955,"43075794-OR"
1955,"53050548-99"
1955,"43057767-70"
1955,"43050805-OR"
1955,"43025015-02"
1955,"53070520-02"
1960,"53060518-02"
1960,"53060830-OR"
1960,"53090592-30"
1960,"53070521-92"
1980,"53060518-02"
1980,"53070592-08"
1980,"43003746-05"
1980,"43053725-OR"
1980,"43045788-28"
1980,"53070610-08"
1980,"41035760-07"
1986,"53060518-02"
1986,"53030715-OR"
1986,"53070631-08"
1986,"43045788-28"
1986,"43055757-02"
1986,"43035012-05"
1986,"53070634-01"
1987,"53060518-02"
1987,"43063738-46"
1987,"53080880-37"
1987,"43063738-OR"
1987,"43045788-28"
1987,"43005812-52"
1987,"53070634-02"
2005,"53060518-02"
2005,"53050548-99"
2005,"53030691-OR"
2005,"53030681-43"
2005,"51030705-05"
2005,"53070698-08"
2005,"57030536-CU"
2005,"43075786-30"
2029,"53060518-02"
2029,"53020607-07"
2029,"53103803-OR"
2029,"53050829-OR"
2029,"53085759-01"
2029,"53070882-TC"
2052,"53060518-02"
2052,"53050548-99"
2052,"53030691-OR"
2052,"53050831-OR"
2052,"53031097-OR"
2052,"53071101-81"
2059,"53060518-02"
2059,"53103803-OR"
2059,"53050829-OR"
2059,"53050624-01"
2059,"53063023-92"
2059,"53073023-92"
2157,"53060518-02"
2157,"53090827-OR"
2157,"53050753-32"
2157,"53090667-28"
2157,"53080504-06"
2169,"53060518-02"
2169,"53090511-CU"
2169,"53080809-OR"
2169,"53113782-OR"
2169,"53080544-05"
2169,"53050831-OR"
2169,"43033720-52"
2169,"53020885-05"
2182,"53060518-02"
2182,"43075794-OR"
2182,"43005802-OR"
2182,"43073737-OR"
2182,"43063738-46"
2182,"43025786-OR"
2182,"43033720-52"
2182,"43033720-15"
2182,"43087779-TN"
2182,"53080586-02"
2183,"53060518-02"
2183,"53080809-OR"
2183,"53080716-OR"
2183,"51070902-02"
2183,"53020587-56"
2183,"53080586-56"
2208,"53060518-02"
2208,"43075794-OR"
2208,"53050548-99"
2208,"43057797-07"
2208,"53080655-05"
2227,"53060518-02"
2227,"53090511-CU"
2227,"53030691-OR"
2227,"53043037-OR"
2227,"53081158-OR"
2227,"53033776-OR"
2227,"53040593-08"
2227,"53080794-99"
2233,"53060518-02"
2233,"53080809-OR"
2233,"53080716-OR"
2233,"53033037-02"
2240,"53060518-02"
2240,"43063738-46"
2240,"53091158-OR"
2240,"53080828-OR"
2240,"53030963-99"
2240,"53081158-OR"
2240,"53193794-OR"
2240,"53040712-OR"
2240,"53050903-41"
2240,"53080906-41"
2252,"53060518-02"
2252,"53030691-OR"
2252,"53050682-70"
2252,"53040593-08"
2252,"53050961-11"
2252,"53033767-90"
2252,"53031097-OR"
2252,"53071096-OR"
2252,"53081019-68"
2267,"53060518-02"
2267,"53030691-OR"
2267,"53020885-05"
2267,"53083025-02"
2267,"53090667-28"
2267,"53033768-OR"
2270,"53060518-02"
2270,"53060511-08"
2270,"53091158-OR"
2270,"53080809-OR"
2270,"53083030-99"
2274,"53060518-02"
2274,"53080809-OR"
2274,"53020589-99"
2274,"53080818-05"
2274,"53083039-06"
2294,"53060518-02"
2294,"43005802-OR"
2294,"53043037-OR"
2294,"53033776-OR"
2294,"43090723-OR"
2294,"53083725-15"
2294,"43057745-08"
2366,"53060518-02"
2366,"53030594-08"
2366,"53030691-OR"
2366,"53050681-OR"
2366,"53090460-02"
2375,"53060518-02"
2375,"53090591-12"
2375,"53090546-07"
2375,"43040692-OR"
2377,"53060518-02"
2377,"53090511-CU"
2377,"53080809-OR"
2377,"53113782-OR"
2377,"53020934-01"
2377,"43075033-02"
2377,"53090667-28"
2377,"53090547-01"
2425,"53060518-02"
2425,"53030691-OR"
2425,"53043037-OR"
2425,"53090591-12"
2425,"53080547-01"
2425,"53090764-99"
4044,"53060518-02"
4044,"53080809-OR"
4044,"53081158-OR"
4044,"53075025-05"
4044,"57022877-99"
20,"53030594-08"
20,"43063738-46"
20,"53050803-OR"
20,"51000896-99"
20,"53030963-99"
20,"53081158-OR"
20,"53033776-OR"
20,"53193794-OR"
23,"53030594-08"
23,"51000912-TM"
23,"53050581-11"
23,"53040712-OR"
23,"53090827-OR"
99,"53030594-08"
99,"53090511-CU"
99,"53030691-OR"
99,"53050682-70"
99,"53060830-OR"
99,"51020888-40"
99,"53050585-02"
107,"53030594-08"
107,"53080809-OR"
107,"51023030-56"
107,"53063757-50"
221,"53030594-08"
221,"53090511-CU"
221,"53050803-OR"
221,"53090827-OR"
221,"51041012-TM"
221,"53090716-15"
266,"53030594-08"
266,"43063738-46"
266,"43025786-OR"
266,"43063738-OR"
266,"43003754-OR"
266,"53090511-CU"
266,"43053725-OR"
266,"51050640-10"
270,"53030594-08"
270,"53030636-07"
270,"53030691-OR"
270,"51050641-52"
270,"53023035-OR"
273,"53030594-08"
273,"53040578-01"
273,"53050829-OR"
273,"53090511-CU"
273,"53053763-30"
273,"53050624-01"
273,"53030756-02"
273,"51050756-12"
275,"53030594-08"
275,"53040578-01"
275,"53030715-OR"
275,"53060830-OR"
275,"51050885-37"
380,"53030594-08"
380,"43005802-OR"
380,"43057767-70"
380,"53090511-CU"
380,"53040593-08"
380,"51070618-85"
495,"53030594-08"
495,"53030636-07"
495,"43073754-OR"
495,"51090485-25"
495,"41027798-50"
495,"43089077-01"
608,"53030594-08"
608,"43085020-99"
608,"53030715-OR"
608,"53000671-99"
608,"43079062-05"
647,"53030594-08"
647,"53090511-CU"
647,"53050753-32"
647,"53050575-CU"
647,"53000892-81"
648,"53030594-08"
648,"53090511-CU"
648,"53080809-OR"
648,"53031097-OR"
648,"53000897-99"
666,"53030594-08"
666,"53090511-CU"
666,"53080809-OR"
666,"53003715-37"
799,"53030594-08"
799,"53030636-07"
799,"53080809-OR"
799,"53060830-OR"
799,"53050630-09"
799,"53010582-01"
799,"53083025-02"
799,"53070530-07"
799,"53070602-01"
801,"53030594-08"
801,"53050576-01"
801,"53030691-OR"
801,"53043037-OR"
801,"53010582-BL"
801,"53080544-05"
836,"53030594-08"
836,"53040578-01"
836,"53040712-OR"
836,"53010927-06"
836,"53060914-06"
991,"53030594-08"
991,"53030636-07"
991,"53030691-OR"
991,"53040593-08"
991,"53020623-01"
991,"41057806-05"
1015,"53030594-08"
1015,"53040578-01"
1015,"53030757-02"
1015,"53020797-85"
1020,"53030594-08"
1020,"43005802-OR"
1020,"53050576-01"
1020,"53020863-01"
1020,"43025732-02"
1021,"53030594-08"
1021,"43005802-OR"
1021,"53050576-01"
1021,"43027020-01"
1021,"41039067-05"
1021,"53020866-13"
1161,"53030594-08"
1161,"53090511-CU"
1161,"53080839-11"
1162,"53030594-08"
1162,"53050576-01"
1162,"53080809-OR"
1162,"53093032-02"
1162,"53030597-52"
1167,"53030594-08"
1167,"43077762-01"
1167,"53030636-07"
1167,"53030715-OR"
1167,"41045021-02"
1167,"43045788-28"
1167,"53030602-02"
1167,"43050937-OR"
1168,"53030594-08"
1168,"53030691-OR"
1168,"53040519-08"
1168,"53050681-OR"
1168,"53030602-15"
1168,"53050546-15"
1191,"53030594-08"
1191,"53040578-01"
1191,"53050829-OR"
1191,"53030715-OR"
1191,"43035720-01"
1191,"53030654-01"
1192,"53030594-08"
1192,"53090511-CU"
1192,"53090827-OR"
1192,"53030681-43"
1192,"53030659-02"
1210,"53030594-08"
1210,"53090511-CU"
1210,"53030662-99"
1210,"53030682-70"
1231,"53030594-08"
1231,"53090511-CU"
1231,"53030691-OR"
1231,"53043037-OR"
1231,"53030799-87"
1252,"53030594-08"
1252,"53090511-CU"
1252,"53030691-OR"
1252,"53043037-OR"
1252,"53040593-08"
1252,"53030940-02"
1365,"53030594-08"
1365,"53090511-CU"
1365,"53040712-OR"
1365,"53090827-OR"
1365,"53040541-TO"
1365,"53070545-07"
1410,"53030594-08"
1410,"53090511-CU"
1410,"53080809-OR"
1410,"51065030-05"
1410,"53031097-OR"
1410,"53040896-80"
1410,"53023753-99"
1425,"53030594-08"
1425,"53090511-CU"
1425,"53080809-OR"
1425,"53031097-OR"
1425,"53043026-99"
1645,"53030594-08"
1645,"53040578-01"
1645,"41083009-08"
1645,"51050933-05"
1645,"53030688-43"
1645,"53053040-05"
1783,"53030594-08"
1783,"53090511-CU"
1783,"53030715-OR"
1783,"41055822-08"
1783,"53060610-06"
1794,"53030594-08"
1794,"43080721-OR"
1794,"53050630-09"
1794,"51070902-02"
1794,"43055757-02"
1794,"53060641-99"
1794,"43037798-07"
1833,"53030594-08"
1833,"53040578-01"
1833,"53040712-OR"
1833,"53010927-06"
1833,"53060914-06"
1967,"53030594-08"
1967,"53040712-OR"
1967,"53090827-OR"
1967,"53040541-TO"
1967,"53070545-07"
1967,"53070567-02"
1971,"53030594-08"
1971,"53090511-CU"
1971,"53090827-OR"
1971,"53050753-32"
1971,"53070589-37"
2027,"53030594-08"
2027,"53080809-OR"
2027,"53023770-04"
2027,"53083715-05"
2027,"53070860-47"
2166,"53030594-08"
2166,"51000912-TM"
2166,"53050581-11"
2166,"53040712-OR"
2166,"53090827-OR"
2166,"53070698-08"
2166,"53080529-81"
2202,"53030594-08"
2202,"53090511-CU"
2202,"53043037-OR"
2202,"53040593-08"
2202,"53003778-OR"
2202,"53080640-85"
2202,"43069065-80"
2221,"53030594-08"
2221,"53030691-OR"
2221,"53080716-OR"
2221,"53040519-08"
2221,"53050831-OR"
2221,"53080739-81"
2223,"53030594-08"
2223,"53090511-CU"
2223,"53030691-OR"
2223,"57075781-99"
2223,"53053793-OR"
2223,"43059063-05"
2223,"53020934-01"
2223,"53080749-TO"
2225,"53030594-08"
2225,"43005802-OR"
2225,"53030636-07"
2225,"53030691-OR"
2225,"53040593-08"
2225,"51090613-01"
2225,"51080613-01"
2225,"53080778-01"
2407,"53030594-08"
2407,"53040578-01"
2407,"53030691-OR"
2407,"53090827-OR"
2407,"53090657-81"
2435,"53030594-08"
2435,"53090511-CU"
2435,"53030691-OR"
2435,"53080716-OR"
2435,"53090844-TN"
2442,"53030594-08"
2442,"53040519-08"
2442,"53040712-OR"
2442,"53020934-01"
2442,"53010926-52"
2442,"53090913-52"
2468,"53030594-08"
2468,"53091158-OR"
2468,"53090511-CU"
2468,"53030715-OR"
2468,"53081158-OR"
2468,"53193794-OR"
2468,"53050682-70"
2468,"43015793-OR"
2468,"53050545-05"
2468,"53070710-OR"
2468,"51050933-05"
2468,"53093035-13"
9,"43077762-01"
9,"51000637-06"
9,"43028820-08"
9,"53090511-CU"
9,"43075758-CG"
16,"43077762-01"
16,"43073737-OR"
16,"53050576-01"
16,"43035019-08"
16,"51000640-02"
16,"41045021-02"
16,"43050805-OR"
211,"43077762-01"
211,"43005802-OR"
211,"43063738-46"
211,"43077738-99"
211,"43015796-OR"
211,"43090723-OR"
211,"51040641-70"
268,"43077762-01"
268,"43063738-46"
268,"53050548-99"
268,"53090511-CU"
268,"51050640-99"
379,"43077762-01"
379,"43005802-OR"
379,"43073737-OR"
379,"53050548-99"
379,"53090511-CU"
379,"51070618-05"
379,"43045027-01"
435,"43077762-01"
435,"53060511-08"
435,"43027025-99"
435,"51080620-99"
435,"43005033-OR"
436,"43077762-01"
436,"53050576-01"
436,"43013764-01"
436,"51080660-02"
436,"43098828-52"
436,"43033720-23"
579,"43077762-01"
579,"53000588-TC"
579,"53070592-08"
579,"43050805-OR"
579,"43080721-OR"
579,"43090723-OR"
579,"43027739-01"
579,"43015746-02"
579,"43095022-OR"
579,"43060805-OR"
605,"43077762-01"
605,"53070861-11"
605,"53040578-01"
605,"43003754-OR"
605,"53050585-02"
605,"43005029-08"
605,"53000671-01"
1039,"43077762-01"
1039,"51070902-99"
1039,"43098835-CU"
1039,"53030683-OR"
1039,"53020981-99"
1193,"43077762-01"
1193,"53060511-08"
1193,"53050576-01"
1193,"51070902-02"
1193,"43045788-28"
1193,"53030662-01"
1198,"43077762-01"
1198,"43005802-OR"
1198,"53040578-01"
1198,"41017020-08"
1198,"53080528-28"
1198,"53030665-01"
1202,"43077762-01"
1202,"53050548-99"
1202,"53090511-CU"
1202,"53030667-56"
1202,"43089081-56"
1585,"43077762-01"
1585,"43063738-OR"
1585,"53040578-01"
1585,"43003754-OR"
1585,"53040593-08"
1585,"53050722-01"
1585,"43047706-02"
1588,"43077762-01"
1588,"43063738-OR"
1588,"43003754-OR"
1588,"53070592-08"
1588,"53040521-07"
1588,"41085028-20"
1588,"53050722-20"
1745,"43077762-01"
1745,"41078827-70"
1745,"53050548-99"
1745,"53050595-OR"
1745,"43027739-01"
1745,"53060522-27"
1745,"43060804-OR"
1798,"43077762-01"
1798,"43063738-46"
1798,"43025786-OR"
1798,"53050576-01"
1798,"43063738-OR"
1798,"53040578-01"
1798,"53050548-99"
1798,"53050682-70"
1798,"43025787-OR"
1798,"43090723-OR"
1798,"43003753-OR"
1798,"53060658-01"
1798,"43035786-OR"
2174,"43077762-01"
2174,"43075794-OR"
2174,"43063738-OR"
2174,"53030636-07"
2174,"43090723-OR"
2174,"53080547-TC"
2174,"43017838-81"
2404,"43077762-01"
2404,"43035019-08"
2404,"53040578-01"
2404,"43003754-OR"
2404,"53090650-52"
2404,"43040686-99"
94,"43063724-OR"
94,"43085020-99"
94,"43073737-OR"
94,"43097754-99"
94,"41005828-05"
94,"51020639-02"
94,"43095747-99"
94,"44045825-OR"
3,"43075794-OR"
3,"43005802-OR"
3,"51000622-70"
3,"41078827-70"
3,"43085020-99"
3,"43073737-OR"
3,"43063738-46"
3,"43025786-OR"
4,"43075794-OR"
4,"43005802-OR"
4,"43073737-OR"
4,"43063738-46"
4,"43025786-OR"
4,"51000622-85"
4,"43031107-01"
4,"53050576-01"
4,"43015013-08"
4,"53070861-11"
19,"43075794-OR"
19,"43073737-OR"
19,"43097754-99"
19,"51000640-99"
19,"43057797-07"
19,"43077738-99"
19,"43025769-08"
90,"43075794-OR"
90,"53040521-07"
90,"43069088-08"
90,"51020621-85"
90,"43099073-10"
90,"43013748-09"
265,"43075794-OR"
265,"43073737-OR"
265,"53030636-07"
265,"43003756-OR"
265,"51050592-08"
265,"51070586-08"
265,"43013748-01"
265,"43035799-09"
265,"43033761-OR"
377,"43075794-OR"
377,"53060511-08"
377,"43073737-OR"
377,"53030636-07"
377,"43003756-OR"
377,"51070586-08"
377,"43033761-OR"
377,"43007785-05"
433,"43075794-OR"
433,"43073737-OR"
433,"43047758-05"
433,"43063738-OR"
433,"43013748-09"
433,"43003751-OR"
433,"51080620-30"
433,"43027740-CU"
578,"43075794-OR"
578,"53050576-01"
578,"43063738-OR"
578,"43050805-OR"
578,"43080721-OR"
578,"53000588-02"
578,"43090723-OR"
578,"43047812-02"
597,"43075794-OR"
597,"43050805-OR"
597,"53050595-OR"
597,"43005827-05"
597,"43027739-01"
597,"53000642-01"
597,"43015805-02"
598,"43075794-OR"
598,"43025786-OR"
598,"43027025-99"
598,"43095747-99"
598,"43095746-01"
598,"43005812-52"
598,"53000642-51"
598,"43025015-02"
598,"43055027-46"
630,"43075794-OR"
630,"43005802-OR"
630,"43073737-OR"
630,"43063738-46"
630,"43025786-OR"
630,"43057797-07"
630,"43003756-OR"
630,"43027025-99"
630,"43095022-OR"
630,"53000874-70"
970,"43075794-OR"
970,"43005802-OR"
970,"43073737-OR"
970,"43063738-46"
970,"43025786-OR"
970,"43013748-01"
970,"43027739-01"
970,"53020587-81"
970,"53080586-81"
1166,"43075794-OR"
1166,"53060511-08"
1166,"43073737-OR"
